Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
Emotive,Los Angeles,Marketing,30,0.18,2022-07-07,https://dot.la/emotive-layoffs-2657628462.html,78.0,Series B,2022-07-08 15:47:10,United States,Unknown
Cedar,New York City,Healthcare,,0.24,2022-07-07,https://www.businessinsider.com/cedar-layoffs-workers-jobs-cut-healthcare-market-downturn-2022-7,351.0,Series D,2022-07-07 23:34:56,United States,https://docs.google.com/spreadsheets/u/2/d/e/2PACX-1vQw9FwT77ZGuau5Zvqz-YW7A-y97ppMUNyxVk6KLx2fiXHMuU2GDZdIPnJofkGcUtK_9iCSL4g6LJml/pubhtml
Twitter,SF Bay Area,Consumer,,,2022-07-07,https://www.wsj.com/articles/twitter-lays-off-third-of-talent-team-11657227105,5700.0,IPO,2022-07-07 21:02:28,United States,Unknown
Remote,SF Bay Area,HR,100,0.09,2022-07-06,https://www.publico.pt/2022/07/06/economia/noticia/crise-chega-tecnologicas-portugal-remote-despede-9-2012650,496.0,Series C,2022-07-06 15:38:40,United States,Unknown
Shopify,Ottawa,Retail,50,,2022-07-06,https://www.theglobeandmail.com/business/article-shopify-compensation-hiring-plans/,122.0,IPO,2022-07-06 16:53:53,Canada,Unknown
Anodot,Tel Aviv,Data,35,0.27,2022-07-06,https://www.calcalistech.com/ctechnews/article/sypfe11ms5,64.0,Series C,2022-07-06 16:48:16,United States,Unknown
SQream,New York City,Data,30,0.18,2022-07-06,https://www.calcalistech.com/ctechnews/article/hyvmtrmo9,77.0,Series B,2022-07-06 16:45:44,United States,Unknown
Motif Foodworks,Boston,Food,,,2022-07-06,https://www.foodnavigator-usa.com/Article/2022/07/06/Layoffs-at-Motif-FoodWorks-We-re-pivoting-our-focus-to-key-priorities-that-we-know-will-return-maximum-ROI#,344.0,Series B,2022-07-15 21:27:13,United States,Unknown
Loft,Sao Paulo,Real Estate,384,0.12,2022-07-05,https://startups.com.br/noticias/loft-faz-segunda-rodada-de-demissoes-e-corta-mais-380/,788.0,Unknown,2022-07-05 17:11:08,Brazil,https://docs.google.com/spreadsheets/u/1/d/16T2MFF8cpf4I3aJaOwU3TsFagOPbZIhosAcaF6OSa4I/htmlview?urp=gmail_link
Bizzabo,New York City,Marketing,120,0.3,2022-07-05,https://www.calcalistech.com/ctechnews/article/hysobwfi5,194.0,Series E,2022-07-06 04:30:18,United States,Unknown
eToro,Tel Aviv,Finance,100,0.06,2022-07-05,https://www.calcalistech.com/ctechnews/article/ryoxm611sc,322.0,Unknown,2022-07-05 17:06:43,Israel,Unknown
Verbit,New York City,Data,80,0.1,2022-07-05,https://www.calcalistech.com/ctechnews/article/bj4k0azi5,569.0,Series E,2022-07-05 17:08:11,United States,Unknown
Outschool,SF Bay Area,Education,31,0.18,2022-07-05,https://techcrunch.com/2022/07/05/outschool-which-raised-a-series-b-c-and-d-in-12-months-lays-off-18-of-workforce/,240.0,Series D,2022-07-05 19:15:37,United States,Unknown
Bullish,Hong Kong,Crypto,30,0.08,2022-07-05,https://www.theblock.co/post/155859/bullish-com-cuts-jobs-crypto-exchange,300.0,Unknown,2022-07-15 20:52:32,Hong Kong,Unknown
Transmit Security,Boston,Security,27,0.07,2022-07-05,https://www.themarker.com/technation/2022-07-05/ty-article/.premium/00000181-cd88-dd1b-a7d1-efffaa730000,583.0,Series A,2022-07-06 04:33:06,United States,Unknown
